x1,x2,Class
1.95777774474736,2.32659016737841,1
2.74897121750403,2.55831426774474,1
1.67026727565996,1.23246440191901,1
1.25559630159259,0.550909875305069,-1
0.452784989774953,-1.5864267902462,-1
1.43128976882431,2.7316203991121,1
1.56920847748035,-1.18921323576432,-1
0.31913388229321,-0.119591051952464,-1
0.0872558631055664,3.00376129235006,1
3.26476189287048,2.06690075143606,1
4.55607381224905,2.74885640230409,1
2.61503280866897,1.12985269129212,1
4.35413222448107,-1.57076259930912,-1
1.37818100552516,2.71408308202274,1
3.65633051182203,-1.84655769815472,-1
0.800347207284617,2.14996082616038,1
2.22405145823978,-1.65340848799867,-1
0.762136899726729,-1.02211997978393,-1
2.47165349052342,2.83778968445908,1
0.00766046727286973,1.50936633023918,-1
1.05287040248604,-0.128493219158257,-1
1.4518830069139,1.97610591760593,1
1.74411625377837,2.63745557884453,1
2.38606069290044,2.53468722284343,1
2.8565876230057,1.29173489959636,1
3.41850709738061,-0.6318603493909,-1
3.2487073327445,-1.45377745795668,-1
3.94521119967804,2.64941120600421,1
1.0739240760289,0.412020086636082,-1
1.84564270508991,-0.666690239865862,-1
0.0323368712955974,2.94107939363696,1
1.98436061519184,2.33138156455624,1
1.73890933676998,2.06252057839281,1
3.79900727549447,2.11543727713519,1
3.32913990551063,0.554160089269139,1
4.33440592854998,0.073499474756033,1
4.99552327148084,1.5288003103394,1
1.09652315611696,-1.73622649571432,-1
1.70839286141043,0.389062079897542,-1
3.60260177500813,-2.01011838678503,-1
1.15294601250638,0.434699406043583,-1
2.83461969808057,2.25269373110749,1
1.82352682753485,1.13636894203388,1
1.98353088884411,-0.19620405549806,-1
3.55661768526486,1.17549972890573,1
2.56700237966995,-1.68627002563817,-1
0.37587666164861,1.99248442352315,1
4.07803241750992,0.312103435270976,1
2.43610770288154,-0.0394463864178166,-1
1.67829286910528,-2.05804756847224,-1
3.87160264942917,0.667618390850777,1
0.3616399926528,-0.815986180919626,-1
0.956648053506626,-2.06932814396667,-1
1.76710730915875,-0.127824323544728,-1
2.43591171875453,1.68211817844204,1
3.15339263487807,-1.46680597133402,-1
0.466702228293339,0.30232947454786,-1
2.66722270742304,2.38169177851954,1
0.933348692629025,0.251487020552603,-1
4.60002100603457,-1.72064989590176,-1
4.7667988193724,3.05280041438303,1
3.67001808675266,0.22023356257927,1
0.955072296003558,1.71064019548479,1
4.70332508160368,2.62416342613948,1
1.93221301078178,-0.286158662283097,-1
2.51141262221697,-1.61412007059044,-1
1.24905753659348,1.05536216008419,-1
3.14434549543677,-0.687840583496487,-1
0.370668646629828,2.58274043771954,1
2.24937090418089,1.00944422510116,1
1.74178239633402,1.99805869478391,1
0.871814411577168,-1.33755091196596,-1
1.59024389378082,-1.13140472983013,-1
0.27865880795146,2.65823306891502,1
3.02262453904952,0.92955318829375,1
1.39421292044389,-0.583057927884179,-1
2.82306299397632,0.317034191581975,1
3.80680806665778,2.5706395333658,1
